timestamp,voltage_pu,active_power_kw,reactive_power_kvar,frequency_hz,temperature_c,label,attack_type,severity
0,0.9831807149839614,69.03612722238262,6.903612722238262,49.932164017546924,44.92774934395041,attack,false_power,medium
1,0.7837262543131018,27.16661368537764,2.716661368537764,49.9725564243909,43.4125719255924,attack,undervoltage,high
2,1.0068878569978894,69.03144419816012,6.903144419816012,49.92364761482832,41.27450126654413,attack,false_power,medium
3,0.986351722887157,81.29302296613679,8.129302296613679,49.79047567032288,38.28595607454112,attack,false_power,medium
4,1.1202373694047285,20.96294427543707,2.096294427543707,49.862244201218836,37.632753427888225,attack,overvoltage,medium
5,0.9794206739574713,76.19904332442529,7.6199043324425295,50.024130533909286,40.60016486172911,attack,false_power,medium
6,0.9655971381159915,69.91924279769779,6.99192427976978,50.09458017972467,25.248684485506494,attack,false_power,medium
7,1.0042327310514574,71.20491236654902,7.120491236654903,50.058651443307454,38.878209642674136,attack,false_power,medium
8,0.9703114115514501,25.9744385796505,2.5974438579650503,47.66298931015512,38.59240926561484,attack,frequency_attack,critical
9,0.8595297919756186,36.977671894979395,3.69776718949794,49.85342068262855,46.35283038946638,attack,undervoltage,medium
10,0.8359946258602458,26.91423178069178,2.691423178069178,49.89624260591223,38.25039553439964,attack,undervoltage,high
11,0.991940240206406,25.935486508554245,2.593548650855425,54.99737164204175,42.10841378061494,attack,frequency_attack,critical
12,0.9682644046132913,98.67979596115089,9.86797959611509,49.867122488060986,36.275467707964296,attack,false_power,medium
13,1.2119777900957796,24.221559173825234,2.422155917382524,50.17369853107589,27.22155516605038,attack,overvoltage,high
14,1.112608088844385,19.776695510112575,1.9776695510112576,49.876034990761674,40.081507750775664,attack,overvoltage,medium
15,1.2918104609028973,24.174525088616342,2.4174525088616345,49.936252258648956,28.202484308603015,attack,overvoltage,high
16,0.8841870267003935,23.90296278956852,2.390296278956852,50.095409097993915,31.34133579880457,attack,undervoltage,medium
17,0.9843430421969886,66.9901450021098,6.69901450021098,49.979737627899944,31.775070294567527,attack,false_power,medium
18,0.8744232201842177,26.675321229879717,2.667532122987972,50.03332952361255,18.57178403818744,attack,undervoltage,medium
19,1.256583908149789,20.555269125914585,2.0555269125914584,49.98792994767964,35.84617645356681,attack,overvoltage,high
20,1.0254855545517956,24.67209668417903,2.4672096684179032,47.87269742487077,30.221153854701356,attack,frequency_attack,critical
21,0.8661646885157113,23.335087240145132,2.3335087240145134,50.02321594182039,21.799379673063715,attack,undervoltage,medium
22,0.9981886593868753,80.10891672462795,8.010891672462796,49.81637539749164,31.540530954278363,attack,false_power,medium
