sample_id,voltage_pu,solar_power_kw,frequency_hz,temperature_c,label,attack_type
0,0.9680819210362585,17.204930201483336,49.90110644923501,28.5684662255414,normal,none
1,0.9786512566166372,23.85914239897114,49.93441219060686,30.178126616784375,normal,none
2,0.9949202918622965,15.145348385700132,50.12010049480883,35.38609606061428,normal,none
3,1.0016016124427911,22.36519595862803,49.91447665108674,29.20284295518421,normal,none
4,0.9815906394587657,29.006882985851924,50.13020503398247,22.964854330325647,normal,none
5,0.9838918301146957,14.505484240590942,49.96105107645204,29.52377296394478,normal,none
6,0.9961940067499787,23.732808113085014,49.918837210143565,6.243553780645502,normal,none
7,1.0222239971657194,20.201297591642604,50.04488099632577,27.781195450449182,normal,none
8,0.9944052260940243,10.20691439779138,49.99361675171057,24.91893243777302,normal,none
9,1.0096593727100662,3.1366283012845644,49.921488225188924,17.86466917016105,attack,power_manipulation
10,1.016385002673727,15.588395185964,50.07421509354834,23.380601986630193,normal,none
11,1.2782363279834286,15.2884714167711,50.10167196125917,32.17534649284747,attack,overvoltage
12,1.0099991230288983,18.41392310236815,49.92682040157921,27.872074984082712,normal,none
13,1.0310916469553644,7.449707274490908,50.00937786515176,18.275638254504038,normal,none
14,1.0001919441392086,1.6233279063271993,50.22974617578489,21.79094951077415,attack,power_manipulation
15,0.9790586648245544,2.1150940387104633,50.086554760279874,37.31266733878576,attack,power_manipulation
16,1.0170447551747308,15.497316829411762,49.92258328578103,21.996878283814606,normal,none
17,1.2463745436837874,18.699951609497447,50.204565154111286,15.679613234549022,attack,overvoltage
18,1.006874795887174,9.647545035194034,49.99281448436301,27.556436491142684,normal,none
19,0.9938491210626627,19.649336043891974,49.9688840753817,33.1446171083642,normal,none
20,0.7775418827851007,17.832595309713373,50.30192418118013,23.02226168783386,attack,undervoltage
21,0.9958523773621089,17.29682604485093,50.09208205489735,22.340855743366347,normal,none
22,0.977730744645693,18.078195992066355,49.88343884795214,19.387160416573202,normal,none
23,1.0262468574306263,12.912359515951422,50.181051399173924,20.78836974799264,normal,none
24,0.9928624460644997,17.57725928059108,49.985308445558424,22.61739003976758,normal,none
25,1.0009312617768658,19.675703247623385,49.95791187130939,25.110600173656643,normal,none
26,1.0193025402196223,19.511405629361576,49.94639385698512,4.681857497288423,normal,none
27,0.9875729698125046,13.300559456917872,49.92206419484457,13.138060214090496,normal,none
28,0.9747856795816311,17.14845869803659,49.8464846789269,21.132672621342135,normal,none
29,1.0031438888497388,18.59480587392076,50.060563618783185,25.5633662419652,normal,none
30,0.817120977486733,25.26283041599985,50.17518113045644,31.210302406531213,attack,undervoltage
31,0.9778005337382959,22.503275709125727,50.061493257133606,27.940023547468684,normal,none
32,0.9943419321086486,28.046970602474346,50.03841714303638,15.304958965855924,normal,none
33,0.9916055657911265,28.19871789068904,49.98570474721912,22.35142172832684,normal,none
